"graph.class.parameter","vertex.entropy","degree.entropy","betweenness.entropy","clustering.coefficient.entropy","sd.vertex.entropy","sd.degree.entropy","sd.betweenness.entropy","sd.clustering.coefficient.entropy","d.degree","d.betweenness","d.clustering.coefficient","sd.degree","sd.betweenness","sd.clustering.coefficient","graph.class.name"
0.01,0.826994323335899,1.75933080756167,0.903037785426683,0.291998502180124,0.196518083160546,0.185567616883838,0.412027408613905,0.570096984570022,0.9544,0.9164,0.00770666666666667,0.959370170815563,2.27577807603465,0.0340080816469341,"random.network"
0.02,0.831487079939093,2.27835613563778,2.16085136863653,1.02127215113511,0.192181702456315,0.148547094929217,0.461537792069352,0.83870653647197,1.8928,12.438,0.0190914285714286,1.31316687174372,21.3017489353727,0.0769932129895532,"random.network"
0.03,0.856393618457529,2.6012471577957,2.91255553574151,2.11614235420113,0.154137790082252,0.146555468630537,0.215561195204711,0.56279546221468,2.9352,60.9088,0.0469838095238095,1.64381606725767,84.4285854156199,0.120964868016252,"random.network"
0.04,0.868104496772242,2.79104313204751,3.13604861317058,2.71706124007918,0.139790793943198,0.148709138916263,0.0782050086765912,0.28257407714951,3.9624,116.05,0.0698028127428127,1.89148395183743,141.243509195677,0.133962778614875,"random.network"
0.05,0.881857408461963,2.9439324639414,3.18677410499656,3.03458924871646,0.108574551592201,0.136158105410599,0.0581441491607568,0.175859855641467,4.9712,134.8188,0.0882782595182595,2.16344045675496,146.924129369476,0.118242395522441,"random.network"
0.06,0.891943455639738,3.04317663879354,3.1810418248899,3.16135346400243,0.0923491919600511,0.113079344212812,0.0426413180290447,0.140634837692764,5.848,134.396,0.108308551448551,2.32800711101415,136.137348610218,0.11495993527831,"random.network"
0.07,0.901814003643141,3.07562216093523,3.19312728385952,3.27476811443132,0.0763676198479694,0.0882160766037292,0.0373477650927563,0.08758272904336,6.8096,134.2108,0.121278922188922,2.4592383227068,132.781148805609,0.0982040001219174,"random.network"
0.08,0.908895179023021,2.98358061461421,3.17392984155943,3.32804221077056,0.0618936358988722,0.102317667592779,0.0592875497543684,0.0467605309101801,7.7912,129.4232,0.141774631512279,2.69640720607581,128.677395376313,0.0915023962073867,"random.network"
0.09,0.910236758026678,2.85564221626663,3.17389544054233,3.33830681143454,0.0559347444177482,0.129521897413469,0.0496061996703493,0.0482797490321252,8.7144,128.5872,0.15705996583396,2.7747701131126,123.688301294964,0.0800946917083554,"random.network"
0.1,0.91457410243889,2.73890473982163,3.164196582264,3.35243330787733,0.0480749918135777,0.125217221361562,0.0487499733305304,0.0318240736210657,9.668,129.8004,0.173498352060736,2.94080815485299,126.080747569501,0.0749014241171385,"random.network"
